customer_id,region,plan_type,contract_type,payment_method,tenure_months,monthly_charges_inr,avg_login_days_per_month,support_tickets_last_90_days,payment_delay_days,data_usage_gb,satisfaction_score,last_complaint_days_ago,discount_percent,autopay_enabled,referral_count,churn
CUST0001,South,Standard,Month-to-month,Debit Card,30,687.4,13,0,0,87.97,8.0,67,0,0,0,0
CUST0002,West,Premium,Month-to-month,Wallet,15,1029.74,22,3,1,82.17,5.7,69,0,0,0,0
CUST0003,Central,Standard,Month-to-month,Credit Card,72,732.07,13,0,11,89.39,6.4,63,10,0,0,0
CUST0004,West,Premium,Month-to-month,Credit Card,22,959.51,19,2,3,139.73,7.2,130,5,0,0,0
CUST0005,North,Premium,Month-to-month,Net Banking,11,890.2,18,2,6,156.43,5.8,0,5,1,2,0
CUST0006,North,Premium,One-year,Wallet,13,1058.22,13,1,1,157.49,8.3,115,10,0,1,0
CUST0007,Central,Standard,Two-year,Debit Card,38,765.73,18,2,0,119.12,7.1,10,0,1,1,0
CUST0008,South,Basic,Month-to-month,UPI,16,327.42,11,5,8,32.46,6.9,99,0,0,0,0
CUST0009,South,Premium,Month-to-month,Debit Card,19,1050.49,22,0,2,136.53,6.0,7,20,0,0,0
CUST0010,Central,Standard,One-year,Credit Card,20,732.89,14,3,1,115.1,6.4,0,20,0,0,0
CUST0011,South,Basic,Two-year,Wallet,20,413.44,17,2,1,44.82,5.8,45,20,0,1,0
CUST0012,West,Basic,One-year,Debit Card,11,371.89,24,0,2,66.84,9.0,10,5,0,3,0
CUST0013,West,Standard,One-year,Credit Card,13,671.99,17,4,0,93.9,4.0,3,10,1,3,0
CUST0014,Central,Basic,Month-to-month,Wallet,14,410.12,17,0,0,66.19,8.1,64,5,1,1,0
CUST0015,Central,Standard,Month-to-month,Credit Card,12,765.02,22,3,1,111.71,5.5,183,10,0,0,0
CUST0016,Central,Basic,One-year,Net Banking,26,438.61,29,1,5,47.34,6.3,150,0,0,2,0
CUST0017,North,Standard,Month-to-month,Wallet,29,692.89,16,2,0,99.43,7.9,55,20,1,1,0
CUST0018,North,Standard,Month-to-month,Debit Card,23,603.13,23,2,6,106.65,7.4,124,5,1,1,0
CUST0019,Central,Enterprise,Two-year,Debit Card,31,1930.52,23,2,3,214.4,7.1,33,0,1,0,0
CUST0020,Central,Standard,One-year,Wallet,17,705.73,16,0,2,107.22,6.7,53,0,0,0,0
CUST0021,North,Standard,One-year,Wallet,23,644.34,25,3,1,100.72,5.8,0,15,0,3,0
CUST0022,South,Enterprise,Two-year,Debit Card,18,1634.2,30,5,2,220.12,5.1,53,0,0,0,0
CUST0023,Central,Basic,One-year,UPI,19,488.63,0,1,2,19.39,8.6,0,0,0,2,0
CUST0024,West,Standard,Month-to-month,Wallet,28,775.31,19,0,3,64.99,8.0,27,0,1,2,0
